Proposal_ID,Total_Eval_Txs,Active_Nodes,True_ROI(%),Malicious_ROI_Vote(%),Standard_DAO_ROI(%),AI_Verified_ROI(%),AI_Risk_Score,Required_ROI_Threshold,Final_Decision
PRJ-0079,20,100,201.55,279.29,215.48,209.36,78.08,252.27,Rejected
PRJ-0080,20,100,81.44,139.21,82.6,80.69,62.63,161.07,Rejected
PRJ-0081,20,100,288.8,224.56,278.79,290.46,70.13,202.3,Accepted
PRJ-0082,20,100,275.63,202.33,266.12,277.54,76.13,239.39,Accepted
PRJ-0083,20,100,170.69,317.69,195.3,169.05,82.69,284.16,Rejected
PRJ-0084,20,100,191.17,268.51,189.39,178.21,69.13,196.52,Rejected
PRJ-0085,20,100,169.96,265.01,186.49,170.97,65.08,173.91,Rejected
PRJ-0086,20,100,162.18,114.27,167.69,171.38,44.47,83.76,Accepted
PRJ-0087,20,100,131.06,233.08,152.1,139.31,69.98,201.47,Rejected
PRJ-0088,20,100,240.78,190.61,237.59,245.34,67.55,187.49,Accepted
PRJ-0089,20,100,266.54,229.72,262.0,264.15,74.68,230.1,Accepted
PRJ-0090,20,100,206.93,159.51,201.87,209.9,39.04,66.62,Accepted
PRJ-0091,20,100,212.01,348.25,229.46,216.08,87.54,320.07,Rejected
PRJ-0092,20,100,214.39,135.39,191.63,206.93,64.78,172.31,Accepted
PRJ-0093,20,100,105.83,72.04,100.54,101.92,33.99,53.06,Accepted
PRJ-0094,20,100,166.53,112.83,159.16,168.33,48.48,98.15,Accepted
PRJ-0095,20,100,170.63,131.78,158.32,165.32,50.21,104.83,Accepted
PRJ-0096,20,100,116.79,52.27,93.6,108.96,43.49,80.47,Accepted
PRJ-0097,20,100,160.95,90.64,148.71,159.02,54.5,122.58,Accepted
PRJ-0098,20,100,181.89,127.66,164.61,174.93,53.95,120.21,Accepted
PRJ-0099,20,100,208.1,176.27,207.18,214.22,42.27,76.5,Accepted
PRJ-0100,20,100,130.71,233.92,152.1,135.04,77.77,250.17,Rejected
PRJ-0101,20,100,106.21,183.14,113.75,100.58,63.08,163.38,Rejected
PRJ-0102,20,100,159.09,112.71,144.75,151.81,62.2,158.84,Rejected
PRJ-0103,20,100,265.45,324.14,283.11,270.83,90.31,341.72,Rejected
PRJ-0104,20,100,290.87,353.63,308.35,294.72,100.0,423.88,Rejected
PRJ-0105,20,100,60.39,146.0,87.7,71.56,51.87,111.46,Rejected
PRJ-0106,20,100,175.39,240.68,182.58,173.68,65.42,175.73,Rejected
PRJ-0107,20,100,120.21,187.54,123.2,115.47,55.24,125.8,Rejected
PRJ-0108,20,100,140.5,67.23,130.27,141.2,27.46,38.81,Accepted
PRJ-0109,20,100,196.75,120.28,181.04,195.0,56.35,130.75,Accepted
PRJ-0110,20,100,319.35,388.05,328.11,321.68,95.65,385.76,Rejected
PRJ-0111,20,100,38.1,99.58,42.32,31.71,53.55,118.49,Rejected
PRJ-0112,20,100,173.71,119.65,163.5,169.01,42.14,76.07,Accepted
PRJ-0113,20,100,152.24,119.08,142.17,146.86,55.22,125.72,Accepted
PRJ-0114,20,100,196.36,136.58,195.62,203.14,55.97,129.05,Accepted
PRJ-0115,20,100,52.45,-19.08,42.38,53.61,27.93,39.71,Accepted
PRJ-0116,20,100,176.95,311.13,208.14,185.6,67.55,187.47,Rejected
PRJ-0117,20,100,151.4,217.83,157.19,148.52,70.06,201.93,Rejected
PRJ-0118,20,100,243.77,169.91,227.68,234.46,73.15,220.54,Accepted
PRJ-0119,20,100,174.95,271.22,176.72,163.67,83.02,286.5,Rejected
PRJ-0120,20,100,144.78,284.74,160.73,139.29,80.77,270.62,Rejected
PRJ-0121,20,100,56.73,118.42,71.37,60.9,77.44,247.98,Rejected
PRJ-0122,20,100,205.6,135.9,189.9,199.73,67.48,187.09,Accepted
PRJ-0123,20,100,320.33,282.74,316.77,321.55,74.49,228.91,Accepted
PRJ-0124,20,100,88.51,226.19,116.48,97.87,48.63,98.71,Rejected
PRJ-0125,20,100,164.41,294.14,177.12,161.36,80.56,269.15,Rejected
PRJ-0126,20,100,122.3,236.42,148.39,130.88,58.59,141.12,Rejected
PRJ-0127,20,100,290.77,251.69,274.93,282.91,71.2,208.67,Accepted
PRJ-0128,20,100,221.74,144.38,193.29,209.46,67.56,187.54,Accepted
PRJ-0129,20,100,107.03,158.84,123.53,118.76,69.2,196.89,Rejected
PRJ-0130,20,100,250.53,315.79,263.68,253.59,91.73,353.17,Rejected
PRJ-0131,20,100,298.54,441.98,322.17,305.36,93.23,365.44,Rejected
PRJ-0132,20,100,211.43,161.48,215.33,223.81,63.65,166.32,Accepted
PRJ-0133,20,100,137.12,240.86,139.46,128.33,62.63,161.05,Rejected
PRJ-0134,20,100,198.48,145.87,189.81,200.88,61.55,155.58,Accepted
PRJ-0135,20,100,69.8,169.64,82.34,68.85,61.11,153.35,Rejected
PRJ-0136,20,100,179.29,292.51,188.71,179.2,77.07,245.51,Rejected
PRJ-0137,20,100,93.35,150.06,110.57,105.46,60.97,152.66,Rejected
PRJ-0138,20,100,186.33,146.79,180.95,185.92,53.26,117.26,Accepted
PRJ-0139,20,100,133.51,261.06,150.96,132.01,64.51,170.87,Rejected
PRJ-0140,20,100,44.93,150.89,46.63,32.81,85.83,307.13,Rejected
PRJ-0141,20,100,135.46,249.86,143.38,127.89,59.86,147.22,Rejected
PRJ-0142,20,100,153.05,90.11,140.55,152.04,59.57,145.82,Accepted
PRJ-0143,20,100,118.74,234.02,137.26,119.2,75.83,237.42,Rejected
PRJ-0144,20,100,143.78,279.35,161.12,145.68,59.74,146.63,Rejected
PRJ-0145,20,100,226.81,182.16,220.3,223.6,59.59,145.89,Accepted
PRJ-0146,20,100,227.8,178.81,211.52,219.17,39.95,69.33,Accepted
PRJ-0147,20,100,161.33,103.73,159.06,160.81,41.65,74.53,Accepted
PRJ-0148,20,100,86.96,16.97,79.43,90.43,38.7,65.64,Accepted
PRJ-0149,20,100,153.77,92.09,135.25,148.93,59.55,145.7,Accepted
PRJ-0150,20,100,125.09,202.33,133.1,120.53,55.66,127.65,Rejected
PRJ-0151,20,100,113.59,228.73,121.97,111.01,67.94,189.68,Rejected
PRJ-0152,20,100,185.95,122.7,191.15,197.56,57.96,138.17,Accepted
PRJ-0153,20,100,40.52,107.15,48.64,38.53,37.39,61.94,Rejected
PRJ-0154,20,100,169.52,120.05,160.92,164.58,59.78,146.83,Accepted
PRJ-0155,20,100,60.97,167.61,80.12,61.18,51.15,108.56,Rejected
PRJ-0156,20,100,204.92,276.42,217.03,206.65,96.22,390.64,Rejected
PRJ-0157,20,100,158.78,112.07,159.52,169.27,56.37,130.83,Accepted
PRJ-0158,20,100,172.04,117.27,162.4,171.19,59.72,146.53,Accepted
PRJ-0159,20,100,258.82,188.85,247.25,259.4,55.6,127.38,Accepted
PRJ-0160,20,100,193.4,158.82,189.35,189.0,48.68,98.91,Accepted
PRJ-0161,20,100,202.23,128.58,183.75,197.92,63.88,167.56,Accepted
PRJ-0162,20,100,226.17,361.09,256.96,236.67,77.25,246.73,Rejected
PRJ-0163,20,100,65.45,133.51,78.3,68.71,63.95,167.9,Rejected
PRJ-0164,20,100,197.13,344.24,219.37,199.9,77.28,246.9,Rejected
PRJ-0165,20,100,206.82,160.87,200.2,206.58,64.41,170.32,Accepted
PRJ-0166,20,100,159.12,92.88,153.47,158.01,43.92,81.91,Accepted
PRJ-0167,20,100,135.57,217.45,153.73,143.42,62.2,158.84,Rejected
PRJ-0168,20,100,207.41,259.85,214.4,203.9,78.02,251.81,Rejected
PRJ-0169,20,100,233.15,179.16,231.83,234.91,66.23,180.19,Accepted
PRJ-0170,20,100,210.67,334.43,213.21,198.79,78.8,257.06,Rejected
PRJ-0171,20,100,138.75,218.38,140.81,130.64,58.7,141.63,Rejected
PRJ-0172,20,100,42.35,187.34,64.71,41.33,35.99,58.18,Rejected
PRJ-0173,20,100,180.74,292.08,201.33,183.85,79.76,263.64,Rejected
PRJ-0174,20,100,295.78,256.95,285.3,288.71,82.51,282.83,Accepted
PRJ-0175,20,100,116.85,172.63,130.28,118.47,55.65,127.63,Rejected
PRJ-0176,20,100,86.5,151.89,105.19,94.09,59.4,144.99,Rejected
PRJ-0177,20,100,190.07,130.42,172.68,185.42,56.72,132.42,Accepted
PRJ-0178,20,100,154.2,117.72,151.05,154.13,52.4,113.65,Accepted
PRJ-0179,20,100,194.79,253.48,217.79,204.83,69.29,197.41,Accepted
PRJ-0180,20,100,44.35,143.94,56.46,46.16,38.77,65.85,Rejected
PRJ-0181,20,100,166.45,112.42,165.42,169.7,57.24,134.8,Accepted
PRJ-0182,20,100,220.14,326.71,233.64,223.37,83.08,286.98,Rejected
PRJ-0183,20,100,161.21,296.27,190.04,168.79,73.76,224.31,Rejected
PRJ-0184,20,100,220.85,156.85,218.03,225.21,71.08,207.97,Accepted
PRJ-0185,20,100,243.24,326.75,256.1,243.83,85.73,306.41,Rejected
PRJ-0186,20,100,178.08,122.71,173.54,180.66,54.66,123.25,Accepted
PRJ-0187,20,100,174.95,288.35,192.01,172.53,67.87,189.27,Rejected
PRJ-0188,20,100,220.19,324.31,234.26,221.11,87.43,319.24,Rejected
PRJ-0189,20,100,181.17,146.04,178.99,184.1,63.57,165.92,Accepted
PRJ-0190,20,100,196.25,130.84,183.41,193.45,67.63,187.96,Accepted
PRJ-0191,20,100,128.58,183.16,131.51,129.45,66.99,184.39,Rejected
PRJ-0192,20,100,145.36,272.4,151.78,139.45,70.51,204.54,Rejected
PRJ-0193,20,100,264.88,226.7,241.25,250.95,56.67,132.22,Accepted
PRJ-0194,20,100,243.75,200.09,248.71,252.52,74.73,230.41,Accepted
PRJ-0195,20,100,178.6,268.36,191.65,184.17,74.75,230.56,Rejected
PRJ-0196,20,100,178.85,231.96,180.49,174.08,78.47,254.84,Rejected
PRJ-0197,20,100,219.83,141.42,214.51,222.31,46.23,89.88,Accepted
PRJ-0198,20,100,160.48,294.96,187.28,167.32,69.05,196.0,Rejected
PRJ-0199,20,100,264.1,194.28,258.52,266.57,74.64,229.85,Accepted
PRJ-0200,20,100,136.18,84.67,125.13,134.85,49.54,102.19,Accepted
PRJ-0201,20,100,80.07,156.97,87.93,79.2,64.4,170.28,Rejected
PRJ-0202,20,100,209.61,175.99,203.52,207.97,55.48,126.87,Accepted
PRJ-0203,20,100,9.35,128.85,26.69,6.06,58.22,139.36,Rejected
PRJ-0204,20,100,205.78,170.53,196.99,203.46,70.58,204.98,Rejected
PRJ-0205,20,100,97.4,203.37,123.45,107.96,64.95,173.2,Rejected
PRJ-0206,20,100,145.6,111.67,139.12,143.79,51.86,111.41,Accepted
PRJ-0207,20,100,123.09,53.06,122.27,132.39,49.98,103.89,Accepted
PRJ-0208,20,100,126.98,247.63,141.18,126.82,57.6,136.48,Rejected
PRJ-0209,20,100,129.79,251.2,152.64,135.39,65.89,178.33,Rejected
PRJ-0210,20,100,216.7,145.83,212.14,219.57,56.31,130.57,Accepted
PRJ-0211,20,100,181.68,239.84,197.23,190.57,96.13,389.86,Rejected
PRJ-0212,20,100,107.39,52.48,107.94,113.23,49.53,102.14,Accepted
PRJ-0213,20,100,239.82,309.78,251.16,241.09,90.91,346.57,Rejected
PRJ-0214,20,100,166.13,99.78,159.06,169.91,57.47,135.86,Accepted
PRJ-0215,20,100,248.39,169.01,223.72,237.42,57.75,137.19,Accepted
PRJ-0216,20,100,244.94,171.26,244.23,249.52,41.57,74.29,Accepted
PRJ-0217,20,100,215.36,139.74,196.68,212.33,62.41,159.93,Accepted
PRJ-0218,20,100,106.16,169.32,124.77,115.4,72.99,219.55,Rejected
PRJ-0219,20,100,195.98,343.12,212.23,192.86,72.41,215.98,Rejected
PRJ-0220,20,100,158.25,295.33,173.15,152.21,69.86,200.72,Rejected
PRJ-0221,20,100,16.92,83.28,20.17,17.0,76.58,242.29,Rejected
PRJ-0222,20,100,171.89,254.41,179.42,172.24,70.61,205.17,Rejected
PRJ-0223,20,100,175.16,133.36,171.6,176.08,57.98,138.28,Accepted
PRJ-0224,20,100,125.68,83.25,125.88,128.12,33.57,52.05,Accepted
PRJ-0225,20,100,258.53,312.2,263.36,256.41,87.51,319.88,Rejected
PRJ-0226,20,100,263.22,192.94,256.09,267.57,77.71,249.74,Accepted
PRJ-0227,20,100,209.15,286.12,218.67,208.15,80.45,268.4,Rejected
PRJ-0228,20,100,127.05,270.44,141.93,124.57,65.73,177.41,Rejected
PRJ-0229,20,100,49.23,144.71,68.61,55.37,66.18,179.89,Rejected
PRJ-0230,20,100,286.54,255.04,281.4,283.69,33.49,51.84,Accepted
PRJ-0231,20,100,134.53,281.52,152.25,135.29,81.62,276.56,Rejected
PRJ-0232,20,100,135.42,203.14,148.09,140.31,69.15,196.6,Rejected
PRJ-0233,20,100,220.23,319.95,237.87,223.1,78.05,252.04,Rejected
PRJ-0234,20,100,211.46,354.55,231.87,211.15,79.44,261.45,Rejected
PRJ-0235,20,100,268.07,357.46,276.7,268.08,81.58,276.28,Rejected
PRJ-0236,20,100,163.96,94.84,155.35,166.87,53.43,117.95,Accepted
PRJ-0237,20,100,237.78,320.49,255.18,240.68,89.21,333.02,Rejected
PRJ-0238,20,100,229.46,323.02,249.65,235.66,80.7,270.13,Rejected
PRJ-0239,20,100,170.48,124.25,163.08,169.3,62.75,161.67,Accepted
PRJ-0240,20,100,33.87,128.74,54.54,35.99,45.83,88.47,Rejected
PRJ-0241,20,100,70.36,182.31,98.55,82.02,55.42,126.58,Rejected
PRJ-0242,20,100,65.29,11.34,64.15,68.67,31.26,46.67,Accepted
PRJ-0243,20,100,30.76,141.55,65.34,44.33,44.16,82.7,Rejected
PRJ-0244,20,100,219.89,362.59,242.82,221.5,75.2,233.41,Rejected
PRJ-0245,20,100,129.8,85.56,117.07,121.57,53.69,119.08,Accepted
PRJ-0246,20,100,156.17,267.2,168.99,150.16,79.56,262.26,Rejected
PRJ-0247,20,100,196.73,157.67,186.33,191.27,50.16,104.6,Accepted
PRJ-0248,20,100,173.89,138.55,175.93,182.4,50.46,105.81,Accepted
PRJ-0249,20,100,150.42,80.12,143.12,151.41,41.11,72.83,Accepted
PRJ-0250,20,100,155.19,95.11,148.55,157.11,56.32,130.6,Accepted
PRJ-0251,20,100,170.75,281.85,181.16,166.63,65.73,177.45,Rejected
PRJ-0252,20,100,179.98,253.67,194.65,181.96,82.24,280.94,Rejected
PRJ-0253,20,100,201.3,137.92,198.32,203.41,54.22,121.37,Accepted
PRJ-0254,20,100,126.54,193.35,136.36,132.99,68.59,193.4,Rejected
PRJ-0255,20,100,208.94,261.3,215.41,208.23,74.51,229.0,Rejected
PRJ-0256,20,100,297.47,247.92,286.65,291.06,83.37,289.03,Accepted
PRJ-0257,20,100,319.4,267.99,318.91,320.67,63.68,166.47,Accepted
PRJ-0258,20,100,259.61,367.44,273.56,260.3,79.65,262.83,Rejected
PRJ-0259,20,100,144.55,217.21,147.47,139.42,59.31,144.58,Rejected
PRJ-0260,20,100,139.31,69.29,126.54,135.36,56.2,130.09,Accepted
PRJ-0261,20,100,79.96,183.25,101.53,85.18,68.51,192.91,Rejected
PRJ-0262,20,100,61.33,184.4,93.73,71.98,47.41,94.16,Rejected
PRJ-0263,20,100,144.62,105.85,141.07,146.93,54.42,122.24,Accepted
PRJ-0264,20,100,178.02,125.5,167.65,173.71,50.14,104.53,Accepted
PRJ-0265,20,100,221.31,144.95,217.05,227.32,53.97,120.26,Accepted
PRJ-0266,20,100,68.16,202.36,93.2,72.38,56.99,133.68,Rejected
PRJ-0267,20,100,253.22,315.99,261.41,253.7,99.79,421.99,Rejected
PRJ-0268,20,100,215.54,301.56,219.63,208.81,72.56,216.87,Rejected
PRJ-0269,20,100,147.9,87.87,122.39,135.42,37.46,62.14,Accepted
PRJ-0270,20,100,191.46,326.6,212.54,193.93,77.54,248.67,Rejected
PRJ-0271,20,100,163.28,300.08,185.04,167.77,66.23,180.15,Rejected
PRJ-0272,20,100,218.32,308.62,228.8,216.24,73.53,222.86,Rejected
PRJ-0273,20,100,127.58,241.67,144.73,128.83,73.05,219.89,Rejected
PRJ-0274,20,100,172.78,104.54,168.75,181.97,61.62,155.94,Accepted
PRJ-0275,20,100,88.57,175.32,96.29,83.76,65.16,174.32,Rejected
PRJ-0276,20,100,183.95,284.56,189.3,174.93,72.62,217.24,Rejected
PRJ-0277,20,100,132.99,72.01,123.51,128.99,50.91,107.59,Accepted
PRJ-0278,20,100,165.94,86.19,151.36,161.89,50.5,105.96,Accepted
PRJ-0279,20,100,150.79,270.0,164.86,148.31,67.23,185.7,Rejected
PRJ-0280,20,100,123.7,236.09,141.05,121.05,65.24,174.75,Rejected
PRJ-0281,20,100,154.1,105.72,141.05,146.86,26.69,37.37,Accepted
PRJ-0282,20,100,180.61,231.71,195.71,187.48,83.12,287.21,Rejected
PRJ-0283,20,100,5.0,108.53,21.11,5.0,56.35,130.77,Rejected
PRJ-0284,20,100,138.3,66.08,133.46,135.64,50.09,104.33,Accepted
PRJ-0285,20,100,110.27,234.0,122.08,106.69,64.59,171.3,Rejected
PRJ-0286,20,100,78.13,8.88,51.24,66.16,30.46,44.91,Accepted
PRJ-0287,20,100,211.33,168.6,213.91,214.17,54.96,124.59,Accepted
PRJ-0288,20,100,219.9,145.14,220.55,229.3,63.67,166.47,Accepted
PRJ-0289,20,100,295.84,360.85,301.17,294.19,84.53,297.47,Rejected
PRJ-0290,20,100,272.72,238.48,267.38,271.66,66.33,180.71,Accepted
PRJ-0291,20,100,168.22,120.73,150.89,158.64,59.52,145.57,Accepted
PRJ-0292,20,100,254.84,219.92,245.51,251.07,75.2,233.43,Accepted
PRJ-0293,20,100,242.15,354.62,257.72,245.22,82.79,284.83,Rejected
PRJ-0294,20,100,103.03,34.3,88.08,100.56,46.21,89.82,Accepted
PRJ-0295,20,100,309.21,230.21,300.83,308.59,71.84,212.5,Accepted
PRJ-0296,20,100,314.26,429.91,337.59,320.65,86.83,314.72,Accepted
PRJ-0297,20,100,106.79,200.73,105.69,96.75,59.53,145.6,Rejected
PRJ-0298,20,100,191.51,261.25,198.41,189.01,73.69,223.89,Rejected
PRJ-0299,20,100,224.24,151.18,212.58,225.4,69.61,199.28,Accepted
PRJ-0300,20,100,140.8,263.64,162.33,146.94,77.56,248.8,Rejected
PRJ-0301,20,100,255.31,176.07,236.23,251.08,74.94,231.77,Accepted
PRJ-0302,20,100,159.3,230.65,176.11,165.49,63.58,165.99,Rejected
PRJ-0303,20,100,201.71,310.74,229.28,209.72,83.57,290.52,Rejected
PRJ-0304,20,100,120.43,46.76,119.01,129.69,36.51,59.56,Accepted
PRJ-0305,20,100,242.21,293.15,242.06,238.14,84.35,296.15,Rejected
PRJ-0306,20,100,133.77,204.17,145.98,138.78,77.43,247.89,Rejected
PRJ-0307,20,100,235.77,321.31,247.38,232.81,90.05,339.67,Rejected
PRJ-0308,20,100,261.79,224.35,244.83,251.42,69.17,196.72,Accepted
PRJ-0309,20,100,164.13,302.75,188.14,171.85,75.84,237.49,Rejected
PRJ-0310,20,100,208.56,178.4,205.0,213.22,39.52,68.03,Accepted
PRJ-0311,20,100,201.56,139.45,205.8,206.82,42.12,76.0,Accepted
PRJ-0312,20,100,129.14,239.49,163.06,144.6,66.9,183.84,Rejected
PRJ-0313,20,100,230.2,330.03,244.4,232.85,80.36,267.75,Rejected
PRJ-0314,20,100,158.17,259.9,180.61,165.6,81.74,277.38,Rejected
PRJ-0315,20,100,124.55,90.12,105.86,114.97,47.87,95.88,Accepted
PRJ-0316,20,100,98.03,190.16,115.93,101.68,72.2,214.7,Rejected
PRJ-0317,20,100,234.89,368.87,248.5,232.14,83.32,288.64,Rejected
PRJ-0318,20,100,83.12,169.35,94.07,79.61,82.98,286.22,Rejected
PRJ-0319,20,100,64.7,140.63,76.25,66.41,67.11,185.05,Rejected
PRJ-0320,20,100,183.19,313.46,203.94,184.2,80.49,268.67,Rejected
PRJ-0321,20,100,5.0,98.69,29.6,11.6,47.45,94.31,Rejected
PRJ-0322,20,100,237.99,301.53,242.09,236.63,78.5,255.07,Rejected
PRJ-0323,20,100,261.3,218.21,253.29,259.76,76.49,241.74,Accepted
PRJ-0324,20,100,163.32,289.26,173.94,157.89,70.33,203.47,Rejected
PRJ-0325,20,100,191.04,244.4,194.49,189.05,87.39,318.96,Rejected
PRJ-0326,20,100,101.88,241.87,110.99,92.2,66.52,181.78,Rejected
PRJ-0327,20,100,199.77,133.22,181.53,190.48,66.0,178.93,Accepted
PRJ-0328,20,100,171.04,92.44,169.41,172.23,48.34,97.63,Accepted
PRJ-0329,20,100,193.28,120.74,175.15,186.66,40.77,71.81,Accepted
PRJ-0330,20,100,354.26,288.87,344.41,352.79,80.26,267.07,Accepted
PRJ-0331,20,100,149.82,111.53,123.07,135.2,52.59,114.43,Accepted
PRJ-0332,20,100,275.49,218.22,266.45,279.35,58.27,139.64,Accepted
PRJ-0333,20,100,123.88,179.08,139.82,128.11,65.31,175.17,Rejected
PRJ-0334,20,100,186.18,139.67,173.84,180.92,55.57,127.28,Accepted
PRJ-0335,20,100,267.79,193.81,256.23,267.64,66.84,183.53,Accepted
PRJ-0336,20,100,187.95,119.35,178.5,188.55,59.59,145.92,Accepted
