Proposal_ID,Total_Eval_Txs,Network_Nodes,Honest_Nodes,Malicious_Nodes,True_Inherent_Risk,Malicious_Nodes_Vote,Standard_DAO_Score,Final_AI_Risk_Score,AI_Correction_Delta
PRJ-0092,20,100,65,15,43.89,65.56,49.92,44.78,5.15
PRJ-0093,20,100,65,15,69.66,91.89,78.45,75.35,3.09
PRJ-0094,20,100,65,15,62.6,91.97,66.4,62.39,4.01
PRJ-0095,20,100,65,15,69.84,109.08,75.67,69.3,6.37
PRJ-0096,20,100,65,15,87.99,50.62,77.03,82.1,5.06
PRJ-0097,20,100,65,15,68.36,107.75,74.59,69.34,5.24
PRJ-0098,20,100,65,15,53.4,87.32,64.15,60.7,3.45
PRJ-0099,20,100,65,15,95.0,74.09,92.98,93.98,0.99
PRJ-0100,20,100,65,15,67.75,100.15,75.32,69.68,5.64
PRJ-0101,20,100,65,15,52.4,84.08,49.61,48.05,1.56
PRJ-0102,20,100,65,15,57.11,93.39,59.91,53.42,6.49
PRJ-0103,20,100,65,15,51.52,90.18,54.32,51.46,2.86
PRJ-0104,20,100,65,15,92.47,56.26,86.05,91.1,5.05
PRJ-0105,20,100,65,15,39.3,67.6,45.84,43.23,2.61
PRJ-0106,20,100,65,15,83.57,46.27,77.59,82.44,4.85
PRJ-0107,20,100,65,15,65.08,94.09,68.17,65.06,3.11
PRJ-0108,20,100,65,15,74.34,40.91,68.27,70.95,2.68
PRJ-0109,20,100,65,15,41.99,72.39,50.04,46.48,3.56
PRJ-0110,20,100,65,15,53.77,90.82,64.21,57.32,6.89
PRJ-0111,20,100,65,15,95.0,72.32,94.27,98.74,4.46
PRJ-0112,20,100,65,15,79.57,55.31,81.47,84.4,2.92
PRJ-0113,20,100,65,15,80.88,42.79,68.18,73.6,5.42
PRJ-0114,20,100,65,15,34.41,70.08,33.64,32.16,1.48
PRJ-0115,20,100,65,15,89.43,60.25,77.25,82.49,5.24
PRJ-0116,20,100,65,15,64.17,90.74,69.35,65.33,4.02
PRJ-0117,20,100,65,15,45.43,69.07,51.38,48.25,3.13
PRJ-0118,20,100,65,15,50.9,80.38,55.91,52.98,2.93
PRJ-0119,20,100,65,15,50.21,73.75,53.14,51.15,1.98
PRJ-0120,20,100,65,15,53.11,80.39,53.83,49.59,4.23
PRJ-0121,20,100,65,15,94.47,57.0,86.82,92.68,5.86
PRJ-0122,20,100,65,15,68.21,103.17,73.25,70.14,3.11
PRJ-0123,20,100,65,15,57.04,89.41,59.95,55.74,4.21
PRJ-0124,20,100,65,15,30.47,65.42,27.92,26.0,1.91
PRJ-0125,20,100,65,15,73.65,51.5,80.17,78.98,1.19
PRJ-0126,20,100,65,15,81.79,56.94,73.67,81.32,7.66
PRJ-0127,20,100,65,15,53.65,76.05,52.3,49.34,2.96
PRJ-0128,20,100,65,15,48.78,82.36,56.97,51.49,5.48
PRJ-0129,20,100,65,15,64.88,96.62,72.76,69.52,3.24
PRJ-0130,20,100,65,15,52.08,74.63,59.35,53.93,5.42
PRJ-0131,20,100,65,15,51.87,78.99,56.02,50.28,5.73
PRJ-0132,20,100,65,15,93.64,68.9,90.37,93.42,3.06
PRJ-0133,20,100,65,15,55.24,78.71,56.03,53.48,2.55
PRJ-0134,20,100,65,15,52.04,91.69,55.16,47.39,7.77
PRJ-0135,20,100,65,15,61.42,84.83,61.43,58.58,2.85
PRJ-0136,20,100,65,15,76.33,45.2,73.31,77.42,4.11
PRJ-0137,20,100,65,15,39.96,66.43,43.0,40.85,2.15
PRJ-0138,20,100,65,15,73.56,48.71,62.15,69.38,7.22
PRJ-0139,20,100,65,15,68.9,91.98,72.51,68.02,4.49
PRJ-0140,20,100,65,15,40.08,61.11,43.83,45.19,1.36
PRJ-0141,20,100,65,15,52.09,77.19,58.13,53.21,4.91
PRJ-0142,20,100,65,15,56.35,88.26,65.61,61.13,4.48
PRJ-0143,20,100,65,15,27.93,64.54,33.59,27.51,6.09
PRJ-0144,20,100,65,15,61.95,85.58,66.1,63.02,3.08
PRJ-0145,20,100,65,15,66.3,89.09,72.92,68.23,4.69
PRJ-0146,20,100,65,15,68.82,92.09,72.91,68.68,4.24
PRJ-0147,20,100,65,15,70.92,43.74,66.89,69.73,2.85
PRJ-0148,20,100,65,15,95.0,58.67,91.87,95.09,3.22
PRJ-0149,20,100,65,15,34.43,69.38,32.09,29.48,2.61
PRJ-0150,20,100,65,15,59.73,97.72,62.39,56.38,6.01
PRJ-0151,20,100,65,15,77.44,55.1,70.49,71.58,1.1
PRJ-0152,20,100,65,15,76.56,49.86,74.59,77.37,2.79
PRJ-0153,20,100,65,15,70.08,32.2,65.48,69.25,3.76
PRJ-0154,20,100,65,15,95.0,68.77,91.33,93.85,2.52
PRJ-0155,20,100,65,15,77.46,42.21,70.71,74.62,3.91
PRJ-0156,20,100,65,15,57.84,94.26,65.11,58.99,6.11
PRJ-0157,20,100,65,15,60.95,85.54,61.4,58.17,3.23
PRJ-0158,20,100,65,15,70.66,37.84,70.54,74.09,3.55
PRJ-0159,20,100,65,15,71.2,47.57,69.0,74.39,5.4
PRJ-0160,20,100,65,15,46.33,74.35,53.37,48.69,4.69
PRJ-0161,20,100,65,15,74.82,44.7,71.03,74.51,3.49
PRJ-0162,20,100,65,15,48.12,85.56,53.48,48.42,5.06
PRJ-0163,20,100,65,15,66.64,100.79,74.62,70.0,4.62
PRJ-0164,20,100,65,15,68.36,100.49,70.25,67.82,2.42
PRJ-0165,20,100,65,15,88.9,49.2,78.98,85.17,6.19
PRJ-0166,20,100,65,15,63.11,91.09,73.83,71.17,2.67
PRJ-0167,20,100,65,15,62.63,93.38,63.37,60.5,2.87
PRJ-0168,20,100,65,15,40.18,67.12,45.65,41.13,4.52
PRJ-0169,20,100,65,15,59.96,82.78,65.86,64.37,1.49
PRJ-0170,20,100,65,15,42.45,70.83,42.74,40.88,1.86
PRJ-0171,20,100,65,15,61.54,81.8,71.48,66.74,4.74
PRJ-0172,20,100,65,15,81.9,42.68,75.58,79.28,3.7
PRJ-0173,20,100,65,15,60.97,82.31,69.73,62.65,7.09
PRJ-0174,20,100,65,15,65.89,103.85,72.08,65.69,6.39
PRJ-0175,20,100,65,15,56.4,87.69,59.92,55.54,4.38
PRJ-0176,20,100,65,15,56.85,85.66,55.9,56.78,0.88
PRJ-0177,20,100,65,15,83.69,46.46,73.03,76.96,3.93
PRJ-0178,20,100,65,15,59.43,84.84,64.53,60.4,4.13
PRJ-0179,20,100,65,15,48.34,68.88,57.65,54.85,2.8
PRJ-0180,20,100,65,15,84.07,50.64,75.5,80.38,4.88
PRJ-0181,20,100,65,15,57.13,79.12,57.72,56.89,0.83
PRJ-0182,20,100,65,15,75.69,38.58,68.89,75.56,6.67
PRJ-0183,20,100,65,15,59.59,85.45,62.48,61.4,1.08
PRJ-0184,20,100,65,15,74.24,36.39,70.6,71.95,1.35
PRJ-0185,20,100,65,15,57.16,88.97,61.86,59.41,2.45
PRJ-0186,20,100,65,15,43.87,72.06,45.34,44.14,1.19
PRJ-0187,20,100,65,15,33.77,69.04,43.0,39.26,3.74
PRJ-0188,20,100,65,15,63.55,99.55,70.75,66.77,3.98
PRJ-0189,20,100,65,15,59.55,92.22,65.26,60.55,4.71
PRJ-0190,20,100,65,15,39.35,76.05,42.38,37.78,4.6
PRJ-0191,20,100,65,15,65.28,85.64,67.39,65.73,1.66
PRJ-0192,20,100,65,15,53.33,84.41,56.47,50.57,5.89
PRJ-0193,20,100,65,15,80.44,48.43,77.33,81.44,4.12
PRJ-0194,20,100,65,15,79.74,41.45,73.57,77.16,3.59
PRJ-0195,20,100,65,15,37.39,60.71,36.52,33.5,3.02
PRJ-0196,20,100,65,15,65.39,97.45,70.12,65.45,4.67
PRJ-0197,20,100,65,15,55.83,90.21,55.47,51.35,4.12
PRJ-0198,20,100,65,15,44.72,74.25,45.01,44.0,1.01
PRJ-0199,20,100,65,15,72.4,51.78,67.09,71.09,3.99
PRJ-0200,20,100,65,15,75.5,54.48,68.98,74.22,5.25
PRJ-0201,20,100,65,15,95.0,72.87,94.94,96.15,1.21
PRJ-0202,20,100,65,15,54.45,84.36,58.28,54.99,3.3
PRJ-0203,20,100,65,15,55.6,91.58,66.65,62.2,4.45
PRJ-0204,20,100,65,15,56.56,88.37,62.0,55.85,6.15
PRJ-0205,20,100,65,15,54.09,77.8,56.94,53.8,3.14
PRJ-0206,20,100,65,15,74.31,39.67,71.55,76.59,5.04
PRJ-0207,20,100,65,15,73.4,48.4,74.26,77.07,2.81
PRJ-0208,20,100,65,15,71.89,32.13,62.77,67.0,4.22
PRJ-0209,20,100,65,15,71.44,33.13,66.92,71.65,4.74
PRJ-0210,20,100,65,15,45.85,85.27,51.99,47.47,4.53
PRJ-0211,20,100,65,15,64.41,90.79,69.78,66.77,3.01
PRJ-0212,20,100,65,15,65.45,87.86,67.57,63.03,4.54
PRJ-0213,20,100,65,15,68.33,89.64,74.36,69.53,4.83
PRJ-0214,20,100,65,15,51.58,87.4,51.97,50.27,1.69
PRJ-0215,20,100,65,15,80.48,55.82,74.68,76.52,1.84
PRJ-0216,20,100,65,15,78.34,42.37,74.48,79.56,5.08
PRJ-0217,20,100,65,15,57.24,94.71,72.51,65.39,7.12
PRJ-0218,20,100,65,15,59.56,94.31,56.21,53.02,3.19
PRJ-0219,20,100,65,15,58.7,84.62,58.0,56.32,1.69
PRJ-0220,20,100,65,15,51.22,84.81,48.87,44.89,3.98
PRJ-0221,20,100,65,15,79.76,47.5,74.36,78.48,4.12
PRJ-0222,20,100,65,15,75.12,44.87,77.72,80.18,2.46
PRJ-0223,20,100,65,15,55.43,91.03,57.87,53.76,4.11
PRJ-0224,20,100,65,15,56.67,96.05,61.1,55.89,5.21
PRJ-0225,20,100,65,15,86.31,49.99,77.25,82.74,5.49
PRJ-0226,20,100,65,15,72.07,41.33,63.97,68.47,4.5
PRJ-0227,20,100,65,15,88.21,50.44,84.21,91.17,6.96
PRJ-0228,20,100,65,15,59.18,90.2,68.15,62.98,5.17
PRJ-0229,20,100,65,15,62.35,96.81,61.82,58.73,3.09
PRJ-0230,20,100,65,15,54.04,78.44,56.03,52.31,3.72
PRJ-0231,20,100,65,15,57.24,86.85,62.06,58.39,3.67
PRJ-0232,20,100,65,15,82.83,55.87,82.16,85.99,3.83
PRJ-0233,20,100,65,15,75.23,39.28,75.19,80.28,5.09
PRJ-0234,20,100,65,15,59.61,96.96,68.3,63.48,4.81
PRJ-0235,20,100,65,15,77.31,44.94,76.64,79.7,3.06
PRJ-0236,20,100,65,15,82.54,44.92,77.07,80.86,3.78
PRJ-0237,20,100,65,15,62.49,85.71,69.88,65.29,4.59
PRJ-0238,20,100,65,15,52.75,82.9,59.29,55.09,4.19
PRJ-0239,20,100,65,15,67.87,100.55,68.78,66.46,2.32
PRJ-0240,20,100,65,15,76.19,54.05,76.43,80.01,3.58
PRJ-0241,20,100,65,15,68.74,101.39,76.43,73.37,3.06
PRJ-0242,20,100,65,15,69.19,90.54,73.96,70.73,3.22
PRJ-0243,20,100,65,15,81.1,54.19,75.46,78.09,2.63
PRJ-0244,20,100,65,15,54.5,91.93,59.56,54.2,5.36
PRJ-0245,20,100,65,15,56.62,90.28,67.1,60.8,6.3
PRJ-0246,20,100,65,15,64.01,103.96,65.47,59.71,5.76
PRJ-0247,20,100,65,15,43.28,77.15,45.39,38.92,6.48
PRJ-0248,20,100,65,15,57.47,82.93,67.41,63.03,4.38
PRJ-0249,20,100,65,15,74.75,46.8,75.91,76.91,1.0
PRJ-0250,20,100,65,15,48.95,73.55,53.77,51.46,2.31
PRJ-0251,20,100,65,15,46.23,85.59,54.7,50.67,4.03
PRJ-0252,20,100,65,15,81.76,46.23,76.27,81.38,5.11
PRJ-0253,20,100,65,15,73.55,50.92,72.95,75.3,2.34
PRJ-0254,20,100,65,15,84.94,55.31,84.4,88.4,4.0
PRJ-0255,20,100,65,15,54.85,76.14,61.44,59.93,1.51
PRJ-0256,20,100,65,15,43.54,79.49,47.52,41.01,6.52
PRJ-0257,20,100,65,15,58.31,90.31,58.07,53.28,4.79
PRJ-0258,20,100,65,15,28.64,65.84,32.94,30.31,2.63
PRJ-0259,20,100,65,15,50.5,82.86,55.25,51.02,4.23
PRJ-0260,20,100,65,15,47.62,67.82,57.02,52.27,4.75
PRJ-0261,20,100,65,15,68.13,88.79,66.5,62.8,3.7
PRJ-0262,20,100,65,15,54.77,77.42,55.62,53.58,2.04
PRJ-0263,20,100,65,15,91.97,68.62,88.0,92.25,4.25
PRJ-0264,20,100,65,15,73.59,39.46,66.61,72.34,5.73
PRJ-0265,20,100,65,15,65.89,100.18,71.87,66.02,5.85
PRJ-0266,20,100,65,15,70.9,34.61,67.59,70.41,2.81
PRJ-0267,20,100,65,15,84.76,54.23,86.79,88.01,1.21
PRJ-0268,20,100,65,15,54.66,75.87,57.74,54.45,3.28
PRJ-0269,20,100,65,15,55.23,94.75,59.25,54.24,5.01
PRJ-0270,20,100,65,15,71.36,35.57,62.39,67.09,4.7
PRJ-0271,20,100,65,15,64.63,89.2,77.68,73.52,4.16
PRJ-0272,20,100,65,15,71.54,37.94,66.0,68.83,2.83
PRJ-0273,20,100,65,15,61.14,95.99,64.31,58.12,6.19
PRJ-0274,20,100,65,15,74.71,47.29,64.25,67.82,3.57
PRJ-0275,20,100,65,15,68.37,98.1,79.92,74.42,5.5
PRJ-0276,20,100,65,15,58.12,89.96,57.99,53.56,4.43
PRJ-0277,20,100,65,15,87.15,52.83,82.82,89.06,6.25
PRJ-0278,20,100,65,15,70.94,41.09,66.22,70.71,4.5
PRJ-0279,20,100,65,15,73.15,45.97,70.67,72.88,2.21
PRJ-0280,20,100,65,15,22.27,50.09,25.15,20.32,4.83
PRJ-0281,20,100,65,15,45.58,84.98,52.35,48.66,3.69
PRJ-0282,20,100,65,15,70.2,48.73,63.13,65.25,2.13
PRJ-0283,20,100,65,15,66.15,94.77,70.93,64.98,5.96
PRJ-0284,20,100,65,15,57.59,91.73,59.8,57.74,2.07
PRJ-0285,20,100,65,15,59.77,96.65,63.66,59.08,4.58
PRJ-0286,20,100,65,15,95.0,57.63,94.0,97.29,3.29
PRJ-0287,20,100,65,15,61.11,91.74,65.11,61.1,4.01
PRJ-0288,20,100,65,15,64.44,103.12,66.88,63.21,3.67
PRJ-0289,20,100,65,15,66.18,95.27,69.4,63.01,6.39
PRJ-0290,20,100,65,15,70.2,36.86,69.91,68.76,1.15
PRJ-0291,20,100,65,15,81.62,42.22,75.52,79.09,3.57
PRJ-0292,20,100,65,15,49.2,78.07,52.12,49.46,2.66
PRJ-0293,20,100,65,15,62.14,101.03,71.01,64.89,6.11
PRJ-0294,20,100,65,15,72.44,40.08,73.53,74.93,1.4
PRJ-0295,20,100,65,15,68.02,92.33,77.03,73.04,3.99
PRJ-0296,20,100,65,15,82.81,49.78,80.62,81.92,1.3
PRJ-0297,20,100,65,15,69.54,106.95,73.49,68.22,5.27
PRJ-0298,20,100,65,15,69.93,104.7,80.12,73.83,6.28
PRJ-0299,20,100,65,15,61.34,97.49,72.21,66.51,5.7
PRJ-0300,20,100,65,15,46.59,75.3,54.21,50.08,4.13
PRJ-0301,20,100,65,15,62.75,89.24,66.45,63.33,3.12
PRJ-0302,20,100,65,15,65.23,99.14,62.9,59.92,2.97
PRJ-0303,20,100,65,15,50.13,74.67,47.69,43.96,3.74
PRJ-0304,20,100,65,15,45.15,78.52,48.39,45.14,3.25
PRJ-0305,20,100,65,15,54.68,85.06,66.57,62.77,3.81
PRJ-0306,20,100,65,15,60.13,86.95,63.21,59.45,3.76
PRJ-0307,20,100,65,15,44.16,76.31,48.84,42.14,6.7
PRJ-0308,20,100,65,15,95.0,60.64,92.9,97.01,4.12
PRJ-0309,20,100,65,15,76.38,55.18,74.06,76.86,2.8
PRJ-0310,20,100,65,15,64.06,86.09,68.66,64.9,3.76
PRJ-0311,20,100,65,15,39.61,75.67,41.86,38.48,3.38
PRJ-0312,20,100,65,15,48.45,80.65,50.74,44.73,6.01
PRJ-0313,20,100,65,15,50.16,73.78,52.59,51.51,1.07
PRJ-0314,20,100,65,15,61.63,92.13,65.97,60.6,5.37
PRJ-0315,20,100,65,15,55.98,95.24,57.71,55.04,2.67
PRJ-0316,20,100,65,15,71.61,40.6,69.46,74.52,5.06
PRJ-0317,20,100,65,15,66.88,103.26,71.87,66.68,5.18
PRJ-0318,20,100,65,15,73.15,48.91,70.16,72.56,2.4
PRJ-0319,20,100,65,15,43.96,79.57,48.98,47.25,1.73
PRJ-0320,20,100,65,15,54.61,83.08,58.76,56.38,2.38
PRJ-0321,20,100,65,15,54.9,86.63,57.7,54.92,2.77
PRJ-0322,20,100,65,15,95.0,57.74,88.23,94.44,6.21
PRJ-0323,20,100,65,15,62.22,94.36,66.92,62.6,4.32
PRJ-0324,20,100,65,15,62.79,90.61,64.77,59.76,5.01
PRJ-0325,20,100,65,15,63.68,92.24,70.58,69.71,0.87
PRJ-0326,20,100,65,15,89.59,49.76,88.83,93.12,4.29
PRJ-0327,20,100,65,15,73.53,51.82,72.32,76.75,4.43
PRJ-0328,20,100,65,15,61.95,89.05,61.73,58.46,3.27
PRJ-0329,20,100,65,15,65.51,103.11,70.35,64.63,5.72
PRJ-0330,20,100,65,15,41.66,68.15,52.89,46.82,6.07
PRJ-0331,20,100,65,15,83.42,54.11,81.68,82.35,0.67
PRJ-0332,20,100,65,15,71.29,32.13,63.56,69.65,6.09
PRJ-0333,20,100,65,15,73.08,51.15,68.5,70.5,2.0
PRJ-0334,20,100,65,15,43.79,70.75,50.0,47.99,2.02
PRJ-0335,20,100,65,15,81.37,41.52,73.3,80.4,7.1
PRJ-0336,20,100,65,15,60.25,97.09,68.26,62.44,5.82
PRJ-0337,20,100,65,15,95.0,72.45,92.96,95.88,2.92
PRJ-0338,20,100,65,15,60.36,94.54,68.22,63.31,4.91
PRJ-0339,20,100,65,15,53.21,81.15,49.3,47.33,1.97
PRJ-0340,20,100,65,15,72.62,42.31,68.88,75.83,6.95
PRJ-0341,20,100,65,15,64.91,92.52,70.93,67.79,3.14
PRJ-0342,20,100,65,15,63.52,89.61,70.34,66.5,3.84
PRJ-0343,20,100,65,15,62.38,89.3,66.55,61.8,4.75
PRJ-0344,20,100,65,15,51.52,87.97,57.6,52.66,4.94
PRJ-0345,20,100,65,15,64.62,88.12,73.91,69.48,4.44
PRJ-0346,20,100,65,15,73.37,50.44,65.19,66.4,1.2
PRJ-0347,20,100,65,15,55.86,95.17,61.56,56.25,5.31
PRJ-0348,20,100,65,15,72.95,42.82,62.97,66.58,3.61
PRJ-0349,20,100,65,15,50.91,83.3,51.86,49.24,2.62
PRJ-0350,20,100,65,15,74.0,52.77,70.18,71.71,1.53
PRJ-0351,20,100,65,15,61.8,101.47,71.1,66.74,4.36
PRJ-0352,20,100,65,15,59.94,82.37,60.98,58.26,2.72
PRJ-0353,20,100,65,15,55.8,85.99,58.57,54.99,3.58
PRJ-0354,20,100,65,15,67.56,100.03,72.17,65.66,6.51
PRJ-0355,20,100,65,15,26.69,54.05,28.52,27.49,1.03
PRJ-0356,20,100,65,15,61.63,96.3,68.23,64.98,3.26
PRJ-0357,20,100,65,15,56.35,87.06,54.27,49.31,4.96
PRJ-0358,20,100,65,15,70.88,39.92,64.2,67.6,3.4
PRJ-0359,20,100,65,15,82.95,59.95,79.11,82.03,2.92
PRJ-0360,20,100,65,15,51.0,80.52,55.12,53.26,1.86
PRJ-0361,20,100,65,15,44.42,82.26,51.36,43.33,8.04
PRJ-0362,20,100,65,15,61.86,90.61,65.04,63.62,1.41
PRJ-0363,20,100,65,15,75.17,41.98,75.71,76.7,0.99
PRJ-0364,20,100,65,15,55.91,88.19,63.69,58.58,5.12
PRJ-0365,20,100,65,15,65.48,95.72,69.93,64.86,5.07
PRJ-0366,20,100,65,15,54.83,76.53,57.91,54.82,3.1
PRJ-0367,20,100,65,15,59.52,86.51,59.89,58.38,1.51
PRJ-0368,20,100,65,15,50.43,74.13,58.78,54.55,4.23
PRJ-0369,20,100,65,15,82.79,50.29,82.3,85.62,3.32
PRJ-0370,20,100,65,15,53.65,76.08,53.06,50.01,3.05
PRJ-0371,20,100,65,15,84.92,64.08,84.25,86.69,2.44
PRJ-0372,20,100,65,15,95.0,60.04,97.99,100.0,2.01
PRJ-0373,20,100,65,15,73.07,34.51,68.29,74.52,6.23
PRJ-0374,20,100,65,15,52.41,81.05,51.7,49.37,2.34
PRJ-0375,20,100,65,15,95.0,57.26,86.52,91.0,4.47
PRJ-0376,20,100,65,15,60.85,97.17,66.42,59.54,6.88
PRJ-0377,20,100,65,15,62.49,99.33,67.82,63.57,4.25
PRJ-0378,20,100,65,15,89.11,55.99,88.08,91.95,3.87
PRJ-0379,20,100,65,15,67.72,104.07,71.84,65.7,6.14
PRJ-0380,20,100,65,15,55.23,92.04,56.34,53.65,2.69
PRJ-0381,20,100,65,15,69.63,95.58,77.57,75.0,2.57
PRJ-0382,20,100,65,15,95.0,57.53,94.78,99.99,5.21
PRJ-0383,20,100,65,15,84.35,64.16,82.22,85.48,3.26
