Node_Profile_ID,Analyzed_Txs_Sequence,Actual_Hidden_Behavior,Standard_Suspicion_Score,AI_Suspicion_Score,AI_Final_Decision,Machine_Learning_Outcome
N-0088,20,Honest,0.2943,0.1664,Honest,True Negative (Safe)
N-0089,20,Honest,0.1279,0.2702,Honest,True Negative (Safe)
N-0090,20,Honest,0.0426,0.3604,Honest,True Negative (Safe)
N-0091,20,Honest,0.9514,0.3935,Honest,True Negative (Safe)
N-0092,20,Honest,0.3327,0.3554,Honest,True Negative (Safe)
N-0093,20,Honest,0.8551,0.5641,Malicious,False Positive (False Alarm)
N-0094,20,Malicious,0.2991,0.8623,Malicious,True Positive (Hit)
N-0095,20,Honest,0.4105,0.4113,Honest,True Negative (Safe)
N-0096,20,Honest,0.5459,0.0,Honest,True Negative (Safe)
N-0097,20,Honest,0.363,0.2897,Honest,True Negative (Safe)
N-0098,20,Malicious,0.1914,0.8778,Malicious,True Positive (Hit)
N-0099,20,Malicious,0.169,0.5743,Malicious,True Positive (Hit)
N-0100,20,Honest,0.7853,0.0732,Honest,True Negative (Safe)
N-0101,20,Honest,0.5935,0.0,Honest,True Negative (Safe)
N-0102,20,Honest,0.9703,0.1891,Honest,True Negative (Safe)
N-0103,20,Honest,0.4738,0.2858,Honest,True Negative (Safe)
N-0104,20,Honest,0.6019,0.0,Honest,True Negative (Safe)
N-0105,20,Honest,0.4487,0.1182,Honest,True Negative (Safe)
N-0106,20,Honest,0.0276,0.4474,Honest,True Negative (Safe)
N-0107,20,Honest,0.362,0.2985,Honest,True Negative (Safe)
N-0108,20,Honest,0.495,0.183,Honest,True Negative (Safe)
N-0109,20,Malicious,1.0,0.7396,Malicious,True Positive (Hit)
N-0110,20,Honest,0.0605,0.1699,Honest,True Negative (Safe)
N-0111,20,Honest,0.5749,0.3565,Honest,True Negative (Safe)
N-0112,20,Honest,0.1781,0.4359,Honest,True Negative (Safe)
N-0113,20,Honest,0.0093,0.4788,Honest,True Negative (Safe)
N-0114,20,Honest,0.1202,0.2048,Honest,True Negative (Safe)
N-0115,20,Malicious,0.8161,0.7763,Malicious,True Positive (Hit)
N-0116,20,Honest,0.6542,0.3737,Honest,True Negative (Safe)
N-0117,20,Malicious,0.8716,0.9837,Malicious,True Positive (Hit)
N-0118,20,Honest,0.3366,0.3766,Honest,True Negative (Safe)
N-0119,20,Honest,0.0684,0.2384,Honest,True Negative (Safe)
N-0120,20,Honest,0.6546,0.2768,Honest,True Negative (Safe)
N-0121,20,Honest,0.5617,0.2073,Honest,True Negative (Safe)
N-0122,20,Honest,0.7323,0.2339,Honest,True Negative (Safe)
N-0123,20,Honest,0.3336,0.4273,Honest,True Negative (Safe)
N-0124,20,Honest,0.0987,0.3502,Honest,True Negative (Safe)
N-0125,20,Malicious,0.2894,1.0,Malicious,True Positive (Hit)
N-0126,20,Honest,0.3847,0.277,Honest,True Negative (Safe)
N-0127,20,Honest,0.5531,0.0,Honest,True Negative (Safe)
N-0128,20,Honest,0.2874,0.4587,Honest,True Negative (Safe)
N-0129,20,Honest,0.6669,0.3066,Honest,True Negative (Safe)
N-0130,20,Honest,0.1126,0.3671,Honest,True Negative (Safe)
N-0131,20,Honest,0.6283,0.2594,Honest,True Negative (Safe)
N-0132,20,Honest,0.7558,0.1133,Honest,True Negative (Safe)
N-0133,20,Honest,0.3225,0.0,Honest,True Negative (Safe)
N-0134,20,Honest,0.68,0.3128,Honest,True Negative (Safe)
N-0135,20,Honest,0.0295,0.0,Honest,True Negative (Safe)
N-0136,20,Malicious,0.3318,0.9246,Malicious,True Positive (Hit)
N-0137,20,Malicious,0.4749,0.5729,Malicious,True Positive (Hit)
N-0138,20,Malicious,0.2985,0.5188,Malicious,True Positive (Hit)
N-0139,20,Malicious,0.0666,0.4844,Honest,False Negative (Missed)
N-0140,20,Malicious,0.2824,0.9002,Malicious,True Positive (Hit)
N-0141,20,Malicious,0.5086,0.5684,Malicious,True Positive (Hit)
N-0142,20,Malicious,1.0,0.6039,Malicious,True Positive (Hit)
N-0143,20,Honest,0.7418,0.5742,Malicious,False Positive (False Alarm)
N-0144,20,Honest,0.0575,0.2648,Honest,True Negative (Safe)
N-0145,20,Honest,0.3206,0.1302,Honest,True Negative (Safe)
N-0146,20,Honest,0.5888,0.1254,Honest,True Negative (Safe)
N-0147,20,Honest,0.326,0.2164,Honest,True Negative (Safe)
N-0148,20,Malicious,0.4567,0.4918,Honest,False Negative (Missed)
N-0149,20,Honest,0.649,0.4597,Honest,True Negative (Safe)
N-0150,20,Honest,0.5359,0.1747,Honest,True Negative (Safe)
N-0151,20,Honest,0.2737,0.1093,Honest,True Negative (Safe)
N-0152,20,Malicious,1.0,0.9563,Malicious,True Positive (Hit)
N-0153,20,Honest,0.24,0.2829,Honest,True Negative (Safe)
N-0154,20,Honest,0.3594,0.3668,Honest,True Negative (Safe)
N-0155,20,Honest,0.5859,0.4667,Honest,True Negative (Safe)
N-0156,20,Honest,0.2374,0.2709,Honest,True Negative (Safe)
N-0157,20,Honest,0.0129,0.0,Honest,True Negative (Safe)
N-0158,20,Honest,0.671,0.0599,Honest,True Negative (Safe)
N-0159,20,Malicious,0.3398,0.7482,Malicious,True Positive (Hit)
N-0160,20,Honest,0.6237,0.0378,Honest,True Negative (Safe)
N-0161,20,Honest,0.0,0.076,Honest,True Negative (Safe)
N-0162,20,Honest,0.7514,0.3186,Honest,True Negative (Safe)
N-0163,20,Honest,0.781,0.0236,Honest,True Negative (Safe)
N-0164,20,Honest,0.0402,0.3425,Honest,True Negative (Safe)
N-0165,20,Honest,0.51,0.3111,Honest,True Negative (Safe)
N-0166,20,Honest,0.6832,0.3343,Honest,True Negative (Safe)
N-0167,20,Honest,0.5514,0.393,Honest,True Negative (Safe)
N-0168,20,Honest,0.5756,0.4215,Honest,True Negative (Safe)
N-0169,20,Honest,0.7021,0.5563,Malicious,False Positive (False Alarm)
N-0170,20,Honest,0.2877,0.3461,Honest,True Negative (Safe)
N-0171,20,Honest,0.3574,0.0833,Honest,True Negative (Safe)
N-0172,20,Honest,0.2776,0.349,Honest,True Negative (Safe)
N-0173,20,Malicious,0.6546,0.8381,Malicious,True Positive (Hit)
N-0174,20,Honest,0.3936,0.2507,Honest,True Negative (Safe)
N-0175,20,Honest,0.6544,0.0,Honest,True Negative (Safe)
N-0176,20,Honest,0.4562,0.268,Honest,True Negative (Safe)
N-0177,20,Honest,0.6383,0.0,Honest,True Negative (Safe)
N-0178,20,Honest,0.8238,0.2927,Honest,True Negative (Safe)
N-0179,20,Honest,0.5166,0.1697,Honest,True Negative (Safe)
N-0180,20,Honest,0.5845,0.2596,Honest,True Negative (Safe)
N-0181,20,Honest,0.7522,0.0,Honest,True Negative (Safe)
N-0182,20,Honest,0.4939,0.3317,Honest,True Negative (Safe)
N-0183,20,Honest,0.4034,0.1691,Honest,True Negative (Safe)
N-0184,20,Honest,0.3593,0.2849,Honest,True Negative (Safe)
N-0185,20,Honest,0.0,0.443,Honest,True Negative (Safe)
N-0186,20,Malicious,0.43,0.7781,Malicious,True Positive (Hit)
N-0187,20,Honest,0.5418,0.1448,Honest,True Negative (Safe)
N-0188,20,Honest,0.4172,0.0,Honest,True Negative (Safe)
N-0189,20,Honest,0.633,0.466,Honest,True Negative (Safe)
N-0190,20,Honest,0.0248,0.1687,Honest,True Negative (Safe)
N-0191,20,Honest,0.1425,0.2145,Honest,True Negative (Safe)
N-0192,20,Honest,0.6122,0.4475,Honest,True Negative (Safe)
N-0193,20,Honest,0.7305,0.5121,Malicious,False Positive (False Alarm)
N-0194,20,Malicious,0.4944,0.4977,Honest,False Negative (Missed)
N-0195,20,Malicious,0.5214,0.8893,Malicious,True Positive (Hit)
N-0196,20,Honest,0.1432,0.582,Malicious,False Positive (False Alarm)
N-0197,20,Honest,0.6745,0.2087,Honest,True Negative (Safe)
N-0198,20,Malicious,0.3723,0.6028,Malicious,True Positive (Hit)
N-0199,20,Honest,0.4686,0.2041,Honest,True Negative (Safe)
N-0200,20,Malicious,0.7876,0.6745,Malicious,True Positive (Hit)
N-0201,20,Malicious,0.6764,0.7436,Malicious,True Positive (Hit)
N-0202,20,Honest,0.5174,0.204,Honest,True Negative (Safe)
N-0203,20,Honest,0.6269,0.3945,Honest,True Negative (Safe)
N-0204,20,Honest,0.565,0.3715,Honest,True Negative (Safe)
N-0205,20,Honest,0.2139,0.3146,Honest,True Negative (Safe)
N-0206,20,Honest,0.7623,0.3483,Honest,True Negative (Safe)
N-0207,20,Malicious,0.2923,0.7391,Malicious,True Positive (Hit)
N-0208,20,Honest,0.5437,0.0985,Honest,True Negative (Safe)
N-0209,20,Honest,0.1104,0.1868,Honest,True Negative (Safe)
N-0210,20,Honest,0.2648,0.2471,Honest,True Negative (Safe)
N-0211,20,Malicious,0.1521,0.8742,Malicious,True Positive (Hit)
N-0212,20,Malicious,0.3913,0.9691,Malicious,True Positive (Hit)
N-0213,20,Honest,0.3808,0.2449,Honest,True Negative (Safe)
N-0214,20,Honest,0.4067,0.1124,Honest,True Negative (Safe)
N-0215,20,Honest,1.0,0.1508,Honest,True Negative (Safe)
N-0216,20,Honest,0.7059,0.0313,Honest,True Negative (Safe)
N-0217,20,Honest,0.543,0.3458,Honest,True Negative (Safe)
N-0218,20,Malicious,0.544,0.6244,Malicious,True Positive (Hit)
N-0219,20,Honest,0.3842,0.1693,Honest,True Negative (Safe)
N-0220,20,Honest,1.0,0.2455,Honest,True Negative (Safe)
N-0221,20,Honest,0.5812,0.6063,Malicious,False Positive (False Alarm)
N-0222,20,Honest,0.2309,0.2575,Honest,True Negative (Safe)
N-0223,20,Honest,0.3827,0.2328,Honest,True Negative (Safe)
N-0224,20,Malicious,0.5052,0.589,Malicious,True Positive (Hit)
N-0225,20,Honest,0.4989,0.0375,Honest,True Negative (Safe)
N-0226,20,Malicious,0.7972,0.8871,Malicious,True Positive (Hit)
N-0227,20,Honest,0.3266,0.161,Honest,True Negative (Safe)
N-0228,20,Honest,0.5189,0.0903,Honest,True Negative (Safe)
N-0229,20,Honest,0.903,0.3216,Honest,True Negative (Safe)
N-0230,20,Honest,0.5483,0.3863,Honest,True Negative (Safe)
N-0231,20,Honest,0.3051,0.4678,Honest,True Negative (Safe)
N-0232,20,Honest,0.4786,0.44,Honest,True Negative (Safe)
N-0233,20,Honest,0.4005,0.5135,Malicious,False Positive (False Alarm)
N-0234,20,Honest,0.5503,0.6865,Malicious,False Positive (False Alarm)
N-0235,20,Malicious,0.4576,0.795,Malicious,True Positive (Hit)
N-0236,20,Malicious,0.2921,0.6336,Malicious,True Positive (Hit)
N-0237,20,Malicious,0.7047,0.9985,Malicious,True Positive (Hit)
N-0238,20,Honest,1.0,0.2307,Honest,True Negative (Safe)
N-0239,20,Malicious,0.3167,0.9157,Malicious,True Positive (Hit)
N-0240,20,Honest,0.168,0.3629,Honest,True Negative (Safe)
N-0241,20,Malicious,0.4244,0.7966,Malicious,True Positive (Hit)
N-0242,20,Malicious,0.8228,0.7256,Malicious,True Positive (Hit)
N-0243,20,Honest,0.6832,0.4246,Honest,True Negative (Safe)
N-0244,20,Honest,0.0,0.0697,Honest,True Negative (Safe)
N-0245,20,Honest,0.0595,0.6503,Malicious,False Positive (False Alarm)
N-0246,20,Malicious,0.5237,1.0,Malicious,True Positive (Hit)
N-0247,20,Honest,0.0418,0.1354,Honest,True Negative (Safe)
N-0248,20,Malicious,0.7501,0.7894,Malicious,True Positive (Hit)
N-0249,20,Malicious,0.6832,0.4742,Honest,False Negative (Missed)
N-0250,20,Honest,0.7942,0.4054,Honest,True Negative (Safe)
N-0251,20,Malicious,0.6504,0.5992,Malicious,True Positive (Hit)
N-0252,20,Honest,0.531,0.1917,Honest,True Negative (Safe)
N-0253,20,Honest,0.0374,0.2399,Honest,True Negative (Safe)
N-0254,20,Honest,0.4108,0.4625,Honest,True Negative (Safe)
N-0255,20,Honest,0.0,0.297,Honest,True Negative (Safe)
N-0256,20,Honest,0.1611,0.3138,Honest,True Negative (Safe)
N-0257,20,Honest,0.5436,0.2326,Honest,True Negative (Safe)
N-0258,20,Honest,0.6518,0.0008,Honest,True Negative (Safe)
N-0259,20,Honest,0.7269,0.1084,Honest,True Negative (Safe)
N-0260,20,Malicious,0.161,0.6901,Malicious,True Positive (Hit)
N-0261,20,Honest,0.0,0.3008,Honest,True Negative (Safe)
N-0262,20,Honest,0.3852,0.4967,Honest,True Negative (Safe)
N-0263,20,Malicious,0.7122,0.4438,Honest,False Negative (Missed)
N-0264,20,Honest,0.2404,0.3541,Honest,True Negative (Safe)
N-0265,20,Honest,0.6618,0.4945,Honest,True Negative (Safe)
N-0266,20,Honest,0.7536,0.2321,Honest,True Negative (Safe)
N-0267,20,Honest,0.5407,0.5097,Malicious,False Positive (False Alarm)
N-0268,20,Honest,0.3742,0.3259,Honest,True Negative (Safe)
N-0269,20,Honest,0.3683,0.1398,Honest,True Negative (Safe)
N-0270,20,Honest,0.4621,0.1125,Honest,True Negative (Safe)
N-0271,20,Honest,0.4173,0.043,Honest,True Negative (Safe)
N-0272,20,Malicious,0.5025,0.8486,Malicious,True Positive (Hit)
N-0273,20,Honest,0.3028,0.2519,Honest,True Negative (Safe)
N-0274,20,Honest,0.4848,0.3405,Honest,True Negative (Safe)
N-0275,20,Honest,0.4166,0.4672,Honest,True Negative (Safe)
N-0276,20,Malicious,0.0248,1.0,Malicious,True Positive (Hit)
N-0277,20,Malicious,0.3322,0.8387,Malicious,True Positive (Hit)
N-0278,20,Honest,0.2154,0.3789,Honest,True Negative (Safe)
N-0279,20,Malicious,0.6191,0.6068,Malicious,True Positive (Hit)
N-0280,20,Honest,0.7183,0.2172,Honest,True Negative (Safe)
N-0281,20,Honest,0.5868,0.0666,Honest,True Negative (Safe)
N-0282,20,Honest,0.4423,0.6507,Malicious,False Positive (False Alarm)
N-0283,20,Malicious,0.7907,0.8177,Malicious,True Positive (Hit)
N-0284,20,Honest,0.3378,0.2635,Honest,True Negative (Safe)
N-0285,20,Malicious,0.5994,0.8488,Malicious,True Positive (Hit)
N-0286,20,Honest,0.1808,0.3837,Honest,True Negative (Safe)
N-0287,20,Honest,0.1776,0.5762,Malicious,False Positive (False Alarm)
N-0288,20,Honest,0.2571,0.3093,Honest,True Negative (Safe)
N-0289,20,Malicious,0.8013,0.6945,Malicious,True Positive (Hit)
N-0290,20,Honest,0.5352,0.537,Malicious,False Positive (False Alarm)
N-0291,20,Honest,0.5911,0.3211,Honest,True Negative (Safe)
N-0292,20,Honest,0.0288,0.0633,Honest,True Negative (Safe)
N-0293,20,Honest,0.7117,0.364,Honest,True Negative (Safe)
N-0294,20,Honest,0.6304,0.3771,Honest,True Negative (Safe)
N-0295,20,Honest,0.7724,0.1977,Honest,True Negative (Safe)
N-0296,20,Honest,0.4801,0.0443,Honest,True Negative (Safe)
N-0297,20,Honest,0.1305,0.0,Honest,True Negative (Safe)
N-0298,20,Honest,0.2287,0.5605,Malicious,False Positive (False Alarm)
N-0299,20,Malicious,0.1618,0.6832,Malicious,True Positive (Hit)
N-0300,20,Malicious,0.2267,0.6178,Malicious,True Positive (Hit)
N-0301,20,Honest,0.4924,0.11,Honest,True Negative (Safe)
N-0302,20,Honest,0.7224,0.5568,Malicious,False Positive (False Alarm)
N-0303,20,Honest,0.0,0.1134,Honest,True Negative (Safe)
N-0304,20,Honest,0.4648,0.4752,Honest,True Negative (Safe)
N-0305,20,Honest,0.3364,0.246,Honest,True Negative (Safe)
N-0306,20,Honest,0.1608,0.0,Honest,True Negative (Safe)
N-0307,20,Honest,0.8113,0.0,Honest,True Negative (Safe)
N-0308,20,Honest,1.0,0.395,Honest,True Negative (Safe)
N-0309,20,Honest,0.62,0.3651,Honest,True Negative (Safe)
N-0310,20,Honest,0.3868,0.3284,Honest,True Negative (Safe)
N-0311,20,Honest,0.4028,0.3606,Honest,True Negative (Safe)
N-0312,20,Honest,0.4416,0.0599,Honest,True Negative (Safe)
N-0313,20,Honest,0.2324,0.0531,Honest,True Negative (Safe)
N-0314,20,Honest,0.6927,0.1265,Honest,True Negative (Safe)
N-0315,20,Honest,0.0,0.3294,Honest,True Negative (Safe)
N-0316,20,Honest,0.8286,0.4046,Honest,True Negative (Safe)
N-0317,20,Malicious,0.3992,0.4009,Honest,False Negative (Missed)
N-0318,20,Honest,0.4164,0.2182,Honest,True Negative (Safe)
N-0319,20,Honest,0.2077,0.3602,Honest,True Negative (Safe)
N-0320,20,Malicious,1.0,0.7989,Malicious,True Positive (Hit)
N-0321,20,Malicious,0.5901,0.5438,Malicious,True Positive (Hit)
N-0322,20,Malicious,0.8994,0.7335,Malicious,True Positive (Hit)
N-0323,20,Honest,0.3053,0.2627,Honest,True Negative (Safe)
N-0324,20,Honest,0.568,0.2778,Honest,True Negative (Safe)
N-0325,20,Honest,0.7515,0.3268,Honest,True Negative (Safe)
N-0326,20,Honest,0.379,0.3302,Honest,True Negative (Safe)
N-0327,20,Honest,0.5749,0.0,Honest,True Negative (Safe)
N-0328,20,Honest,0.7374,0.1898,Honest,True Negative (Safe)
N-0329,20,Honest,0.3812,0.4003,Honest,True Negative (Safe)
N-0330,20,Malicious,0.7368,0.5958,Malicious,True Positive (Hit)
N-0331,20,Honest,0.6507,0.1379,Honest,True Negative (Safe)
N-0332,20,Honest,0.9049,0.0844,Honest,True Negative (Safe)
N-0333,20,Honest,0.5099,0.0936,Honest,True Negative (Safe)
N-0334,20,Honest,1.0,0.0024,Honest,True Negative (Safe)
N-0335,20,Malicious,0.6811,0.5883,Malicious,True Positive (Hit)
N-0336,20,Honest,0.3615,0.3407,Honest,True Negative (Safe)
N-0337,20,Honest,0.7561,0.5747,Malicious,False Positive (False Alarm)
N-0338,20,Honest,0.0658,0.3036,Honest,True Negative (Safe)
N-0339,20,Honest,0.8149,0.0,Honest,True Negative (Safe)
N-0340,20,Honest,0.5286,0.2496,Honest,True Negative (Safe)
N-0341,20,Honest,0.5536,0.0955,Honest,True Negative (Safe)
N-0342,20,Honest,0.0911,0.0,Honest,True Negative (Safe)
N-0343,20,Malicious,0.7941,0.9929,Malicious,True Positive (Hit)
N-0344,20,Malicious,0.6257,0.6325,Malicious,True Positive (Hit)
N-0345,20,Honest,0.0442,0.3627,Honest,True Negative (Safe)
N-0346,20,Honest,0.1748,0.1077,Honest,True Negative (Safe)
N-0347,20,Honest,0.3034,0.2105,Honest,True Negative (Safe)
N-0348,20,Honest,0.2602,0.2567,Honest,True Negative (Safe)
N-0349,20,Malicious,0.3945,0.9043,Malicious,True Positive (Hit)
N-0350,20,Honest,0.7078,0.2717,Honest,True Negative (Safe)
N-0351,20,Malicious,0.6657,1.0,Malicious,True Positive (Hit)
N-0352,20,Honest,0.1568,0.0033,Honest,True Negative (Safe)
N-0353,20,Honest,0.6237,0.6393,Malicious,False Positive (False Alarm)
N-0354,20,Malicious,0.4849,1.0,Malicious,True Positive (Hit)
N-0355,20,Honest,0.4741,0.1138,Honest,True Negative (Safe)
N-0356,20,Malicious,0.3023,0.8885,Malicious,True Positive (Hit)
N-0357,20,Honest,0.2213,0.2663,Honest,True Negative (Safe)
N-0358,20,Honest,0.8459,0.1886,Honest,True Negative (Safe)
N-0359,20,Honest,0.7785,0.0071,Honest,True Negative (Safe)
N-0360,20,Malicious,0.4165,0.4404,Honest,False Negative (Missed)
N-0361,20,Honest,0.4682,0.406,Honest,True Negative (Safe)
N-0362,20,Honest,0.4688,0.4954,Honest,True Negative (Safe)
N-0363,20,Malicious,0.3627,0.7996,Malicious,True Positive (Hit)
N-0364,20,Honest,0.3181,0.3223,Honest,True Negative (Safe)
N-0365,20,Malicious,0.6759,0.8781,Malicious,True Positive (Hit)
N-0366,20,Malicious,0.2824,0.5543,Malicious,True Positive (Hit)
N-0367,20,Honest,0.2739,0.2022,Honest,True Negative (Safe)
N-0368,20,Malicious,0.5718,0.9058,Malicious,True Positive (Hit)
N-0369,20,Honest,0.238,0.0,Honest,True Negative (Safe)
N-0370,20,Honest,0.9889,0.0237,Honest,True Negative (Safe)
N-0371,20,Malicious,0.7591,0.7569,Malicious,True Positive (Hit)
N-0372,20,Honest,0.5128,0.2497,Honest,True Negative (Safe)
N-0373,20,Malicious,0.4538,0.8521,Malicious,True Positive (Hit)
N-0374,20,Malicious,0.4404,1.0,Malicious,True Positive (Hit)
N-0375,20,Malicious,0.6921,0.8819,Malicious,True Positive (Hit)
N-0376,20,Honest,0.3232,0.2027,Honest,True Negative (Safe)
N-0377,20,Honest,0.153,0.1794,Honest,True Negative (Safe)
N-0378,20,Malicious,0.2909,1.0,Malicious,True Positive (Hit)
N-0379,20,Honest,0.4626,0.2841,Honest,True Negative (Safe)
N-0380,20,Honest,0.3937,0.2895,Honest,True Negative (Safe)
N-0381,20,Malicious,1.0,0.684,Malicious,True Positive (Hit)
N-0382,20,Malicious,0.3874,0.8665,Malicious,True Positive (Hit)
N-0383,20,Honest,0.0,0.2628,Honest,True Negative (Safe)
N-0384,20,Malicious,0.4571,0.5317,Malicious,True Positive (Hit)
N-0385,20,Malicious,0.6769,0.7619,Malicious,True Positive (Hit)
N-0386,20,Honest,0.0,0.1207,Honest,True Negative (Safe)
N-0387,20,Honest,0.0,0.3087,Honest,True Negative (Safe)
N-0388,20,Malicious,0.6208,0.5755,Malicious,True Positive (Hit)
N-0389,20,Honest,0.585,0.0,Honest,True Negative (Safe)
N-0390,20,Honest,0.2084,0.3334,Honest,True Negative (Safe)
N-0391,20,Malicious,0.3778,0.7362,Malicious,True Positive (Hit)
